"id","name","code","account_type","tag_ids/id","chart_template_id/id","reconcile"
"a1010","Salg af vare, m/moms","1010","data_account_type_revenue","account_tag_revenue","dk_chart_template","False"
"a1011","Salg af ydelser, m/moms","1011","data_account_type_revenue","account_tag_revenue","dk_chart_template","False"
"a1012","Salg af vare, u/moms","1012","data_account_type_revenue","account_tag_revenue","dk_chart_template","False"
"a1013","Salg af ydelser, u/moms","1013","data_account_type_revenue","account_tag_revenue","dk_chart_template","False"
"a1020","Salg af vare, EU","1020","data_account_type_revenue","account_tag_revenue","dk_chart_template","False"
"a1021","Salg af ydelser, EU","1021","data_account_type_revenue","account_tag_revenue","dk_chart_template","False"
"a1030","Salg af vare, 3. lande","1030","data_account_type_revenue","account_tag_revenue","dk_chart_template","False"
"a1031","Salg af ydelser, 3. lande","1031","data_account_type_revenue","account_tag_revenue","dk_chart_template","False"
"a2010","Direkte omkostninger vare, m/moms","2010","data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2011","Direkte omkostninger ydelser, m/moms","2011","data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2012","Direkte omkostninger vare, u/moms","2012","data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2013","Direkte omkostninger ydelser, u/moms","2013","data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2020","Direkte omkostninger vare, EU","2020","data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2021","Direkte omkostninger ydelser, EU","2021","data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2030","Direkte omkostninger vare, 3. lande","2030","data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2031","Direkte omkostninger ydelser, 3. lande","2031","data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2100","Vareforbrug, lagermodul","2100","data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2110","Prisdifferencer","2110","data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2600","Lager, primo","2600","data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2605","Lager, ultimo","2605","data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2610","Lagerændring","2610","data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a3010","Produktionsløn","3010","data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3020","Gager","3020","data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3610","Arbejdskadeforsikring","3610","data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3620","Ansvarsforsikring","3620","data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3630","Dagpengeforsikring","3630","data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3640","Gruppelivsforsikring","3640","data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3655","ATP-bidrag","3655","data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3680","Kursusudgifter","3680","data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3690","Personaleudgifter","3690","data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3695","Fortæring","3695","data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3700","Befordringsgodtgørelse","3700","data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3710","Skattefrie godtgørelser","3710","data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3740","Arbejdstøj","3740","data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3810","Refunderet sygedagpenge","3810","data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3820","Løntilskud","3820","data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3840","Godtgørelse ATP","3840","data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a4010","Restaurationsbesøg","4010","data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4020","Anden repræsentation","4020","data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4036","Rejseudgifter","4036","data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4040","Hotelophold","4040","data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4060","Annoncer","4060","data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4065","Erhvervsnetværk","4065","data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4070","Dekoration/skilte","4070","data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4071","Udstillinger","4071","data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4073","Tryksager/brochurer","4073","data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4074","Reklame-emballage","4074","data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4076","Emballage,salgsomkostninger","4076","data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4080","Fragt, porto","4080","data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4081","Fragt, porto u/moms","4081","data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4102","Brændstof vare/lastbil","4102","data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4103","Vægtafgift vare/lastbil","4103","data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4104","Forsikring vare/lastbil","4104","data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4105","Vedligeholdelse vare/lastbil","4105","data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4108","Redningskorps vare/lastbil","4108","data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4120","Leje vare/lastbil","4120","data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4152","Brændstof personbil","4152","data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4153","Vægtafgift personbil","4153","data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4154","Forsikring personbil","4154","data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4155","Vedligeholdelse personbil","4155","data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4158","Redningskorps personbil","4158","data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4170","Leje af personbil","4170","data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4189","Privat andel af bil, drift af biler","4189","data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4190","Kørsel i privat bil","4190","data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4205","Leje/leasing af driftsmidler","4205","data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4235","Vedligeholdelse, driftsmiddelomkostninger","4235","data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4240","Småanskaffelser","4240","data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4241","Småanskaffelser o/11.000","4241","data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4255","Husleje m/moms","4255","data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4256","Husleje u/moms","4256","data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4260","Lagerleje","4260","data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4265","Garageleje","4265","data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4271","Varme","4271","data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4275","El og vand","4275","data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4276","Refunderet energiafgift","4276","data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4285","Privat andel el, vand","4285","data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4291","Vedligeholdelse, lokaleomkostninger","4291","data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4295","Rengøring","4295","data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4296","Renovation","4296","data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
