id,code_prefix_start,code_prefix_end,name,chart_template_id/id
ee_group_100100,100100,100500,Fixed Assets,l10n_ee.ee_chart_template
ee_group_101100,101100,101500,Current Assets,l10n_ee.ee_chart_template
ee_group_102100,102100,102500,Non Current Assets,l10n_ee.ee_chart_template
ee_group_103100,103100,103500,Bank and Cash,l10n_ee.ee_chart_template
ee_group_111100,111100,111500,Current Liabilities,l10n_ee.ee_chart_template
ee_group_111500,111500,111700,Non Current Liabilities,l10n_ee.ee_chart_template
ee_group_200000,200100,200900,Sales Income,l10n_ee.ee_chart_template
ee_group_201100,201100,201900,Other Income,l10n_ee.ee_chart_template
ee_group_202100,202100,259500,Expenses,l10n_ee.ee_chart_template
ee_group_300100,300100,399999,Capital And Shares,l10n_ee.ee_chart_template
