"id","name","code","account_type","chart_template_id/id","tag_ids/id","reconcile"
"l10n_hk_11","Fixed Assets","11","data_account_type_fixed_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_1110","Furniture and Fixtures","1110","data_account_type_non_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_1130","Equipment","1130","data_account_type_non_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_1140","Decoration","1140","data_account_type_non_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_1160","Investments","1160","data_account_type_non_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_12","Current Assets","12","data_account_type_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_1240","Account Receivable","1240","data_account_type_receivable","l10n_hk.l10n_hk_chart_template","","True"
"l10n_hk_1241","Utility & Rental Deposit","1241","data_account_type_current_assets","l10n_hk.l10n_hk_chart_template","","True"
"l10n_hk_1242","Supplier Prepayments","1242","data_account_type_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_1243","Account Receivable (PoS)","1243","data_account_type_receivable","l10n_hk.l10n_hk_chart_template","","True"
"l10n_hk_1245","Sundry Deposits","1245","data_account_type_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_1246","Other Receivable","1246","data_account_type_receivable","l10n_hk.l10n_hk_chart_template","","True"
"l10n_hk_1250","Stock Interim Account (Received)","1250","data_account_type_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_1260","Stock Interim Account (Delivered)","1260","data_account_type_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_1270","Stock Valuation Account","1270","data_account_type_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_21","Non-current Liabilities","21","data_account_type_non_current_liabilities","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_22","Current Liabilities","22","data_account_type_current_liabilities","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_2210","Accruals","2210","data_account_type_current_liabilities","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_221001","MPF (Employer)","221001","data_account_type_current_liabilities","l10n_hk.l10n_hk_chart_template","","True"
"l10n_hk_221002","MPF (Employee)","221002","data_account_type_current_liabilities","l10n_hk.l10n_hk_chart_template","","True"
"l10n_hk_2211","Account Payable","2211","data_account_type_payable","l10n_hk.l10n_hk_chart_template","","True"
"l10n_hk_2212","Receipt in Advance (Customer Prepayments)","2212","data_account_type_current_liabilities","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_2214","Provision for Taxation","2214","data_account_type_current_liabilities","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_2215","Proposed Dividend","2215","data_account_type_current_liabilities","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_2216","Other Payable","2216","data_account_type_payable","l10n_hk.l10n_hk_chart_template","","True"
"l10n_hk_31","Paid Capital","31","data_account_type_current_liabilities","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_32","Accumulated Profit & Loss","32","data_account_type_current_liabilities","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_33","Profit & Loss Account","33","data_account_type_current_liabilities","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_34","Short-term Borrowing","34","data_account_type_current_liabilities","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_41","Trade Income","41","data_account_type_revenue","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_42","Other Income and Gains","42","data_account_type_revenue","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_4210","Sundry Income","4210","data_account_type_revenue","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_4220","Exchange Adjustment","4220","data_account_type_revenue","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_4230","Bank Interest Income","4230","data_account_type_revenue","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_4240","Foreign Exchange Gain","4240","data_account_type_revenue","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_51","Costs","51","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5101","Trade Costs","5101","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5105","Misc. Costs","5105","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5106","Costs of Transportation","5106","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5111","Declaration Fees","5111","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5112","Packing Fees","5112","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_52","Expenses","52","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5201","Bank Charges","5201","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5202","Entertainment","5202","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5203","Electricity & Water Fees","5203","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5205","Postage & Stamps","5205","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5206","Printing & Stationery","5206","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5207","Rent & Rates","5207","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5208","Sundry Expenses","5208","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5209","Telecommunication Expenses","5209","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5210","Traffic Fees","5210","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5211","IT Expenses","5211","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5214","Insurance","5214","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5215","Sales Commission","5215","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5216","Overseas Traveling","5216","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5217","MPF Contribution","5217","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5218","Wages & Salaries","5218","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5219","Bonus Payment","5219","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5221","Taxation","5221","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5222","Local Delivery","5222","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5223","Management Fees","5223","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5224","Depreciation","5224","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5225","Audit Fees","5225","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5226","Bad Debts","5226","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5228","Legal & Professional Fees","5228","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5229","Dividend","5229","data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
