id,code,name,account_type,reconcile,chart_template_id:id
l10n_id_11110001,11110001,Cash,data_account_type_liquidity,TRUE,l10n_id.l10n_id_chart
l10n_id_11110010,11110010,Petty Cash,data_account_type_liquidity,TRUE,l10n_id.l10n_id_chart
l10n_id_11110020,11110020,Cash in Hand,data_account_type_liquidity,TRUE,l10n_id.l10n_id_chart
l10n_id_11120001,11120001,Bank Suspense Account,data_account_type_current_liabilities,TRUE,l10n_id.l10n_id_chart
l10n_id_11120002,11120002,Outstanding Receipts,data_account_type_current_assets,TRUE,l10n_id.l10n_id_chart
l10n_id_11120003,11120003,Outstanding Payments,data_account_type_current_assets,TRUE,l10n_id.l10n_id_chart
l10n_id_11120004,11120004,Bank,data_account_type_liquidity,TRUE,l10n_id.l10n_id_chart
l10n_id_11210010,11210010,Account Receivable,data_account_type_receivable,TRUE,l10n_id.l10n_id_chart
l10n_id_11210011,11210011,Account Receivable (PoS),data_account_type_receivable,TRUE,l10n_id.l10n_id_chart
l10n_id_11210020,11210020,Employee Liabilities,data_account_type_current_assets,TRUE,l10n_id.l10n_id_chart
l10n_id_11300180,11300180,Other Inventory,data_account_type_current_assets,FALSE,l10n_id.l10n_id_chart
l10n_id_11410010,11410010,Building Rent,data_account_type_prepayments,FALSE,l10n_id.l10n_id_chart
l10n_id_11410020,11410020,Prepaid Insurance,data_account_type_prepayments,FALSE,l10n_id.l10n_id_chart
l10n_id_11410030,11410030,Prepaid Advertisement-Free,data_account_type_prepayments,FALSE,l10n_id.l10n_id_chart
l10n_id_11510010,11510010,Prepaid Tax PPh 21,data_account_type_prepayments,FALSE,l10n_id.l10n_id_chart
l10n_id_11510020,11510020,Prepaid Tax Pph 22,data_account_type_prepayments,FALSE,l10n_id.l10n_id_chart
l10n_id_11510030,11510030,Prepaid Tax Pph 23,data_account_type_prepayments,FALSE,l10n_id.l10n_id_chart
l10n_id_11510040,11510040,Prepaid Tax Pph 25,data_account_type_prepayments,FALSE,l10n_id.l10n_id_chart
l10n_id_11510050,11510050,Prepaid Tax Pph 28A,data_account_type_prepayments,FALSE,l10n_id.l10n_id_chart
l10n_id_11510060,11510060,Prepaid Tax 4 (2),data_account_type_prepayments,FALSE,l10n_id.l10n_id_chart
l10n_id_11800000,11800000,Down Payment,data_account_type_prepayments,FALSE,l10n_id.l10n_id_chart
l10n_id_12210010,12210010,Office Building,data_account_type_fixed_assets,FALSE,l10n_id.l10n_id_chart
l10n_id_12210020,12210020,Vehicle,data_account_type_fixed_assets,FALSE,l10n_id.l10n_id_chart
l10n_id_12210030,12210030,Office Supplies,data_account_type_fixed_assets,FALSE,l10n_id.l10n_id_chart
l10n_id_12281010,12281010,Accumulation Building Depreciation,data_account_type_prepayments,FALSE,l10n_id.l10n_id_chart
l10n_id_12281020,12281020,Accumulation Vehicle Depreciation,data_account_type_prepayments,FALSE,l10n_id.l10n_id_chart
l10n_id_12281030,12281030,Accumulation Office Supplies Depreciation,data_account_type_prepayments,FALSE,l10n_id.l10n_id_chart
l10n_id_21100010,21100010,Trade Receivable,data_account_type_payable,TRUE,l10n_id.l10n_id_chart
l10n_id_21100020,21100020,Shareholder Deposit,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
l10n_id_21100030,21100030,Third-Party Deposit,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
