id,code,name,account_type,reconcile,chart_template_id:id
l10n_ie_a10,10,Software,data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a11,11,Software Depreciation,data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a20,20,Patents & Trademarks,data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a21,21,Patents & Trademarks Depreciation,data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a30,30,Fixtures and fittings,data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a31,31,Fixtures and fittings Depreciation,data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a40,40,Land and buildings,data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a41,41,Land and buildings Depreciation,data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a50,50,Motor vehicles,data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a51,51,Motor vehicles Depreciation,data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a60,60,Office equipment (inc computer equipment),data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a61,61,Office equipment (inc computer equipment) Depreciation,data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a70,70,Plant and machinery,data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a71,71,Plant and machinery Depreciation,data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a1001,1001,Stock,data_account_type_current_assets,TRUE,l10n_ie
l10n_ie_a1002,1002,Work in Progress,data_account_type_current_assets,FALSE,l10n_ie
l10n_ie_a1003,1003,Finished Goods,data_account_type_current_assets,FALSE,l10n_ie
l10n_ie_a9999,9999,Debtors Control Account,data_account_type_receivable,TRUE,l10n_ie
l10n_ie_a9990,9990,Debtors Control Account (PoS),data_account_type_receivable,TRUE,l10n_ie
l10n_ie_a1101,1101,Sundry Debtors,data_account_type_receivable,TRUE,l10n_ie
l10n_ie_a1102,1102,Other Debtors,data_account_type_current_assets,FALSE,l10n_ie
l10n_ie_a1240,1240,Company Credit Card,data_account_type_current_assets,TRUE,l10n_ie
l10n_ie_a1103,1103,Prepayments,data_account_type_current_assets,FALSE,l10n_ie
l10n_ie_a9998,9998,Creditors Control Account,data_account_type_payable,TRUE,l10n_ie
l10n_ie_a2101,2101,Sundry Creditors,data_account_type_current_liabilities,FALSE,l10n_ie
l10n_ie_a2102,2102,Other Creditors,data_account_type_current_liabilities,FALSE,l10n_ie
l10n_ie_a2200,2200,Sales Tax Control Account,data_account_type_current_liabilities,FALSE,l10n_ie
l10n_ie_a2201,2201,Purchase Tax Control Account,data_account_type_current_assets,FALSE,l10n_ie
l10n_ie_a2202,2202,Revenue VAT Account,data_account_type_payable,TRUE,l10n_ie
l10n_ie_a2204,2204,Manual Adjustments ﾖ VAT,data_account_type_current_liabilities,FALSE,l10n_ie
l10n_ie_a2210,2210,PAYE,data_account_type_payable,TRUE,l10n_ie
l10n_ie_a2220,2220,Net Wages,data_account_type_payable,TRUE,l10n_ie
l10n_ie_a2230,2230,Pension Fund,data_account_type_payable,TRUE,l10n_ie
l10n_ie_a2150,2150,Bad debt provision,data_account_type_current_liabilities,FALSE,l10n_ie
l10n_ie_a2109,2109,Accruals,data_account_type_current_liabilities,FALSE,l10n_ie
l10n_ie_a2320,2320,Corporation Tax,data_account_type_payable,TRUE,l10n_ie
l10n_ie_a2300,2300,Loans,data_account_type_current_liabilities,FALSE,l10n_ie
l10n_ie_a2310,2310,Hire Purchase,data_account_type_current_liabilities,FALSE,l10n_ie
l10n_ie_a2330,2330,Mortgages,data_account_type_current_liabilities,FALSE,l10n_ie
l10n_ie_a9997,9997,Called up share capital,data_account_type_equity,FALSE,l10n_ie
l10n_ie_a3010,3010,Share premium account,data_account_type_equity,FALSE,l10n_ie
l10n_ie_a3020,3020,Revaluation reserve,data_account_type_equity,FALSE,l10n_ie
l10n_ie_a3030,3030,Other reserves,data_account_type_equity,FALSE,l10n_ie
l10n_ie_a9996,9996,Sales category 1,data_account_type_revenue,FALSE,l10n_ie
l10n_ie_a4001,4001,Sales category 2,data_account_type_revenue,FALSE,l10n_ie
l10n_ie_a4002,4002,Sales category 3,data_account_type_revenue,FALSE,l10n_ie
l10n_ie_a4003,4003,Sales category 4,data_account_type_revenue,FALSE,l10n_ie
l10n_ie_a9995,9995,Cost of sales 1,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a5001,5001,Cost of sales 2,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a5002,5002,Cost of sales 3,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a5003,5003,Cost of sales 4,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a9994,9994,"Marketing, POS",data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a6001,6001,Exhibitions and events,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a6002,6002,PR,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a6010,6010,Distribution vehicles,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a6020,6020,Distribution salaries and wages,data_account_type_expenses,FALSE,l10n_ie
