"id","name","code","account_type","chart_template_id/id","tag_ids/id","reconcile"
"p10031","Inventories","10031","data_account_type_current_assets","l10n_in.indian_chart_template_standard","","False"
"p10040","Debtors","10040","data_account_type_receivable","l10n_in.indian_chart_template_standard","","True"
"p10041","Debtors (PoS)","10041","data_account_type_receivable","l10n_in.indian_chart_template_standard","","True"
"p10051","SGST Receivable","10051","data_account_type_current_assets","l10n_in.indian_chart_template_standard","l10n_in.sgst_tag_account","False"
"p10052","CGST Receivable","10052","data_account_type_current_assets","l10n_in.indian_chart_template_standard","l10n_in.cgst_tag_account","False"
"p10053","IGST Receivable","10053","data_account_type_current_assets","l10n_in.indian_chart_template_standard","l10n_in.igst_tag_account","False"
"p10057","Reverse Charge Tax Receivable","10057","data_account_type_current_assets","l10n_in.indian_chart_template_standard","","False"
"p10054","TDS Receivable","10058","data_account_type_current_assets","l10n_in.indian_chart_template_standard","","False"
"p10061","Deposit Account","10061","data_account_type_current_assets","l10n_in.indian_chart_template_standard","","False"
"p10071","Prepaid Insurance","10071","data_account_type_current_assets","l10n_in.indian_chart_template_standard","","False"
"p1011","Buildings","1011","data_account_type_fixed_assets","l10n_in.indian_chart_template_standard","","False"
"p1012","Land","1012","data_account_type_fixed_assets","l10n_in.indian_chart_template_standard","","False"
"p1013","Equipments","1013","data_account_type_fixed_assets","l10n_in.indian_chart_template_standard","","False"
"p1014","Vehicle","1014","data_account_type_fixed_assets","l10n_in.indian_chart_template_standard","","False"
"p1015","Computer/Laptops (Assets)","1015","data_account_type_fixed_assets","l10n_in.indian_chart_template_standard","","False"
"p1016","Furniture","1016","data_account_type_fixed_assets","l10n_in.indian_chart_template_standard","","False"
"p1017","Air Conditionar","1017","data_account_type_fixed_assets","l10n_in.indian_chart_template_standard","","False"
"p1018","Misc Assets","1018","data_account_type_fixed_assets","l10n_in.indian_chart_template_standard","","False"
"p1111","Capital Account","1111","data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","","False"
"p1112","Reserve And Surplus Account","1112","data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","","False"
"p11211","Creditors","11211","data_account_type_payable","l10n_in.indian_chart_template_standard","","True"
"p11221","Bank OD Account","11221","data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","","False"
"p11222","Secured Loan Account","11222","data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","","False"
"p11223","Unsecured Loan Account","11223","data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","","False"
"p11231","TDS Payable","11231","data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","","False"
"p11232","SGST Payable","11232","data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","l10n_in.sgst_tag_account","False"
"p11233","CGST Payable","11233","data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","l10n_in.cgst_tag_account","False"
"p11234","IGST Payable","11234","data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","l10n_in.igst_tag_account","False"
"p11241","Wages Payable","11241","data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","","False"
"p11242","Interest Payable","11242","data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","","False"
"p11243","Notes Payable","11243","data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","","False"
"p20011","Local Sales","20011","data_account_type_revenue","l10n_in.indian_chart_template_standard","","False"
"p20012","Retail Sales","20012","data_account_type_revenue","l10n_in.indian_chart_template_standard","","False"
"p20013","Export Sales","20013","data_account_type_revenue","l10n_in.indian_chart_template_standard","","False"
"p20021","Local Services","20021","data_account_type_revenue","l10n_in.indian_chart_template_standard","","False"
"p20022","Export Services","20022","data_account_type_revenue","l10n_in.indian_chart_template_standard","","False"
"p2010","Interest Revenues","2010","data_account_type_revenue","l10n_in.indian_chart_template_standard","","False"
"p2011","Gain on Sale of Assets","2011","data_account_type_revenue","l10n_in.indian_chart_template_standard","","False"
"2012","Write off Income","2012","data_account_type_revenue","l10n_in.indian_chart_template_standard","","False"
"p2013","Foreign Exchange Profit","2013","data_account_type_other_income","l10n_in.indian_chart_template_standard","","False"
"p2100","Electricity Expense","2100","data_account_type_expenses","l10n_in.indian_chart_template_standard","","False"
"p2101","Salary Expense","2101","data_account_type_expenses","l10n_in.indian_chart_template_standard","","False"
"p2102","Office Rent","2102","data_account_type_expenses","l10n_in.indian_chart_template_standard","","False"
"p2103","House Keeping Expense","2103","data_account_type_expenses","l10n_in.indian_chart_template_standard","","False"
"p2104","Postage And Courier Expense","2104","data_account_type_expenses","l10n_in.indian_chart_template_standard","","False"
"p2105","Internet Expense","2105","data_account_type_expenses","l10n_in.indian_chart_template_standard","","False"
"p2106","Telephone Expense","2106","data_account_type_expenses","l10n_in.indian_chart_template_standard","","False"
"p2107","Purchase Expense","2107","data_account_type_expenses","l10n_in.indian_chart_template_standard","","False"
"p2108","Computer/Laptop Accessories","2108","data_account_type_expenses","l10n_in.indian_chart_template_standard","","False"
"p2109","News Paper And Magazine","2109","data_account_type_expenses","l10n_in.indian_chart_template_standard","","False"
"p2110","Business Promotion","2110","data_account_type_expenses","l10n_in.indian_chart_template_standard","","False"
"p2111","Entertainment Expense","2111","data_account_type_expenses","l10n_in.indian_chart_template_standard","","False"
"p2112","Professional Services","2112","data_account_type_expenses","l10n_in.indian_chart_template_standard","","False"
"p2113","Bank Charges","2113","data_account_type_liquidity","l10n_in.indian_chart_template_standard","","False"
"p2114","Diwali Bonus/Gift","2114","data_account_type_expenses","l10n_in.indian_chart_template_standard","","False"
