id,name,applicability
account_tag_bs_intangible_asset,Intangible Assets,accounts
account_tag_bs_tangible_asset,Tangible Assets,accounts
account_tag_bs_bio_asset,Biological Assets,accounts
account_tag_bs_rou_lease_asset,Right of Use of Leasing Assets,accounts
account_tag_bs_financial_asset,Financial Assets,accounts
account_tag_bs_inventories,Inventories,accounts
account_tag_bs_receivables,Receivables,accounts
account_tag_bs_short_term_invest,Short-Term Investments,accounts
account_tag_bs_liabilities_less_year,Liabilities up to a year,accounts
account_tag_bs_provision,Provisions,accounts
account_tag_bs_def_income,Defered Income,accounts
account_tag_bs_capital,Capital,accounts
account_tag_bs_share_premium,Share Premium,accounts
account_tag_bs_revaluation_reserves,Revaluation Reserves,accounts
account_tag_bs_reserves,Reserves,accounts
account_tag_bs_results_before_ias29,Reported Results before IAS 29,accounts
account_tag_bs_results_after_ias29,Reported Results after IAS 29,accounts
account_tag_bs_profit_or_loss,Profit and Loss,accounts
account_tag_bs_cash_bank_accounts,Cash and Bank Accounts,accounts
account_tag_bs_prepayments,Prepayments,accounts
account_tag_bs_liabilities_more_year,Liabilities more than a year,accounts
account_tag_bs_profit_distribution,Profit distribution,accounts
account_tag_bs_public_patrimony,Public Patrimony,accounts
account_tag_bs_private_patrimony,Private Patrimony,accounts
account_tag_bs_own_shares,Own shares,accounts
account_tag_bs_negative_goodwill,Negative goodwill,accounts
account_tag_pnl_net_turnover,Net Turnover,accounts
account_tag_pnl_production_costs,Revenues from Cost of Production,accounts
account_tag_pnl_revenues_nc_assets_prod,Revenues from N-C Assets Production and Real Estate Investments,accounts
account_tag_pnl_revenues_nc_assets,Revenues from non-current assets,accounts
account_tag_pnl_revenues_nc_assets_revaluation,Revenues from revaluation of non-current assets,accounts
account_tag_pnl_real_estate_invest_income,Real estate investment income,accounts
account_tag_pnl_bio_assets_agro_products_income,Income from biological assets and agricultural products,accounts
account_tag_pnl_operating_grants_income,Income from operating grants,accounts
account_tag_pnl_other_operating_revenues,Other operating revenues,accounts
account_tag_pnl_expenses_raw_materials_consumables,Expenditures on raw materials and consumables,accounts
account_tag_pnl_staff_costs,Staff costs,accounts
account_tag_pnl_value_adjust_assets,Value adjustments on assets,accounts
account_tag_pnl_other_operating_expenses,Other operating expenses,accounts
account_tag_pnl_income_shares_subsidiaries,Income from shares held in subsidiaries,accounts
account_tag_pnl_income_shares_associated_entities,Income from shares held in associated entities,accounts
account_tag_pnl_income_shares_controlled_entities,Income from shares held by associates and jointly controlled entities,accounts
account_tag_pnl_income_securities_oper_other_fin_assets,Income from securities operations and other financial instruments,accounts
account_tag_pnl_income_derivative_transactions,Income from derivative transactions,accounts
account_tag_pnl_income_exchange_rate,Income from exchange rate differences,accounts
account_tag_pnl_income_interest,Interest income,accounts
account_tag_pnl_income_operating_subsidies_debt_due,Income from operating subsidies for the debt due,accounts
account_tag_pnl_income_short_term_fin_invest,Income from short-term financial investments,accounts
account_tag_pnl_income_deferred_coll_norm_credit,Income from deferred collection over normal credit terms,accounts
account_tag_pnl_other_incomes,Other incomes,accounts
account_tag_pnl_adj_financial_nc_inv_c_assets,Value adj. in respect of financial n.-c. assets and investments held as current assets,accounts
account_tag_pnl_expenses_operations_secur_other_fin_assets,Expenditures on operations with securities and other financial instruments,accounts
account_tag_pnl_cost_deriv_transaction,Costs of derivative transaction,accounts
account_tag_pnl_interest_charges,Interest charges,accounts
account_tag_pnl_payment_deferred_normal_credit,Payments with deferred payment over normal credit terms,accounts
account_tag_pnl_interest_costs_leasing,Interest costs on leasing contracts,accounts
account_tag_pnl_other_fin_expenses,Other financial expenses,accounts
account_tag_pnl_current_profit_tax,Current profit tax,accounts
account_tag_pnl_deferred_income_tax,Deferred income tax,accounts
account_tag_pnl_deferred_income_tax_revenues,Deferred income tax revenue,accounts
account_tag_pnl_income_tax_expenses,Income tax expenses,accounts
account_tag_pnl_activity_specific_tax,Activity-specific taxes,accounts
account_tag_pnl_other_tax,Other taxes,accounts
account_tag_pnl_expenses_goods,Expenditure on goods,accounts
