id,name,code,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
pcg_1011,Capital subscris nevărsat,1011,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_capital,False
pcg_1012,Capital subscris vărsat,1012,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_capital,False
pcg_1015,Patrimoniul regiei,1015,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_capital,False
pcg_1016,Patrimoniul public,1016,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_public_patrimony,False
pcg_1017,Patrimoniul privat,1017,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_private_patrimony,False
pcg_1018,Patrimoniul institutelor naționale de cercetare-dezvoltare,1018,account.data_account_type_equity,l10n_ro.ro_chart_template,,False
pcg_1031,Beneficii acordate angajaților sub forma instrumentelor de capitaluri proprii,1031,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_capital,False
pcg_1033,Diferențe de curs valutar în relație cu investiția netă într-o entitate străină,1033,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_capital,False
pcg_1038,Diferențe din modificarea valorii juste a activelor financiare disponibile în vederea vânzării și alte elemente de capitaluri proprii,1038,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_capital,False
pcg_1041,Prime de emisiune,1041,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_share_premium,False
pcg_1042,Prime de fuziune/divizare,1042,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_share_premium,False
pcg_1043,Prime de aport,1043,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_share_premium,False
pcg_1044,Prime de conversie a obligațiunilor în acțiuni,1044,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_share_premium,False
pcg_105,Rezerve din reevaluare,105,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_revaluation_reserves,False
pcg_1061,Rezerve legale,1061,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_reserves,False
pcg_1063,Rezerve statutare sau contractuale,1063,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_reserves,False
pcg_1068,Alte rezerve,1068,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_reserves,False
pcg_107,Diferențe de curs valutar din conversie,107,account.data_account_type_equity,l10n_ro.ro_chart_template,,False
pcg_1081,Interese care nu controlează - rezultatul exercițiului financiar,1081,account.data_account_type_equity,l10n_ro.ro_chart_template,,False
pcg_1082,Interese care nu controlează - alte capitaluri proprii,1082,account.data_account_type_equity,l10n_ro.ro_chart_template,,False
pcg_1091,Acțiuni proprii deținute pe termen scurt,1091,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_own_shares,False
pcg_1092,Acțiuni proprii deținute pe termen lung,1092,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_own_shares,False
pcg_1095,Acțiuni proprii reprezentând titluri deținute de societatea absorbită la societatea absorbantă,1095,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_own_shares,False
pcg_1171,Rezultatul reportat reprezentând profitul nerepartizat sau pierderea neacoperită,1171,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_results_before_ias29,False
pcg_1172,"Rezultatul reportat provenit din adoptarea pentru prima dată a IAS, mai puțin IAS 29",1172,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_results_before_ias29,False
pcg_1173,Rezultatul reportat provenit din modificările politicilor contabile,1173,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_results_before_ias29,False
pcg_1174,Rezultatul reportat provenit din corectarea erorilor contabile,1174,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_results_before_ias29,False
pcg_1175,Rezultatul reportat reprezentând surplusul realizat din rezerve din reevaluare,1175,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_results_before_ias29,False
pcg_1176,Rezultatul reportat provenit din trecerea la aplicarea reglementărilor contabile conforme cu directivele europene,1176,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_results_before_ias29,False
pcg_121,Profit sau pierdere,121,account.data_unaffected_earnings,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_profit_or_loss,False
pcg_129,Repartizarea profitului,129,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_profit_distribution,False
pcg_1411,Câștiguri legate de vânzarea instrumentelor de capitaluri proprii,1411,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_reserves,False
pcg_1412,Câștiguri legate de anularea instrumentelor de capitaluri proprii,1412,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_reserves,False
pcg_1491,Pierderi rezultate din vânzarea instrumentelor de capitaluri proprii,1491,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_reserves,False
pcg_1495,"Pierderi rezultate din reorganizări, care sunt determinate de anularea titlurilor deținute",1495,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_reserves,False
pcg_1498,Alte pierderi legate de instrumentele de capitaluri proprii,1498,account.data_account_type_equity,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_reserves,False
pcg_1511,Provizioane pentru litigii,1511,account.data_account_type_non_current_liabilities,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_provision,False
pcg_1512,Provizioane pentru garanții acordate clienților,1512,account.data_account_type_non_current_liabilities,l10n_ro.ro_chart_template,l10n_ro.account_tag_bs_provision,False
