"id","name","code","account_type","chart_template_id/id","reconcile"
"uy_code_11201","Depósitos Bancarios","11201","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11202","Valores Públicos","11202","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11211","Previsión para desvalorizaciones","11211","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11212","Intereses percibidos por adelantado","11212","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11300","Deudores Varios (def)","11300","data_account_type_receivable","l10n_uy.uy_chart_template","True"
"uy_code_11301","Deudores Simples Plaza","11301","data_account_type_receivable","l10n_uy.uy_chart_template","True"
"uy_code_11302","Deudores por Exportaciones","11302","data_account_type_receivable","l10n_uy.uy_chart_template","True"
"uy_code_11303","Documentos a Cobrar MN","11303","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11304","Documentos a Cobrar ME","11304","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11305","Cheques en Cartera MN","11305","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11306","Cheques en Cartera ME","11306","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11307","Deudores Varios (PoS)","11307","data_account_type_receivable","l10n_uy.uy_chart_template","True"
"uy_code_11311","Prevision para Deudores Incobrables","11311","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11312","Prevision p/dtos y Bonificaciones","11312","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11313","Intereses percibidos por adelantado","11313","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11314","Ingresos diferidos","11314","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11401","Anticipos a Proveedores","11401","data_account_type_current_liabilities","l10n_uy.uy_chart_template","True"
"uy_code_11402","Casa Matriz, Empresas Controlantes","11402","data_account_type_expenses","l10n_uy.uy_chart_template","True"
"uy_code_11403","Controladas / Vinculadas","11403","data_account_type_expenses","l10n_uy.uy_chart_template","True"
"uy_code_11404","Depositos en Garantia","11404","data_account_type_expenses","l10n_uy.uy_chart_template","True"
"uy_code_11405","Pagos adelantados","11405","data_account_type_current_liabilities","l10n_uy.uy_chart_template","True"
"uy_code_11406","Saldos Deudor de ctas de Directores","11406","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11501","Iva Compras Mínima","11501","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11502","Iva Compras Básica","11502","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11505","Iva Pagos","11505","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11506","Iva Retenciones","11506","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11507","Iva Importación","11507","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11508","Iva Anticipo Importación","11508","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11601","Irae Anticipo","11601","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11602","Patrimonio Anticipo","11602","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11603","Icosa Anticipo","11603","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11621","Diversos","11621","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11631","Prevision para Deudores Incobrables","11631","data_account_type_expenses","l10n_uy.uy_chart_template","True"
"uy_code_11632","Ingresos percibidos por adelantado","11632","data_account_type_revenue","l10n_uy.uy_chart_template","True"
"uy_code_11633","Ingresos diferidos","11633","data_account_type_revenue","l10n_uy.uy_chart_template","True"
"uy_code_11701","Mercaderia de Reventa","11701","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11702","Productos Terminados","11702","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11703","Productos en Proceso","11703","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11704","Materias Primas","11704","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11705","Materiales y Suministros","11705","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11706","Importaciones en tramite","11706","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11711","Prevision p/desvalorizaciones","11711","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_12101","Créditos a Largo Plazo","12101","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_12201","Bienes de cambio no corrientes","12201","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_12301","Depositos Bancarios","12301","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_12302","Inmuebles","12302","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_12303","Valores orig. y revaluados s/anexo","12303","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_12304","Menos: Amort. Acum.","12304","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_12305","Titulos y Acciones","12305","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_12311","Prevision para Desvalorizaciones","12311","data_account_type_expenses","l10n_uy.uy_chart_template","True"
"uy_code_12312","Intereses percibidos por adelantado","12312","data_account_type_revenue","l10n_uy.uy_chart_template","True"
"uy_code_12401","Muebles y Útiles","12401","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_12402","Inmuebles","12402","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_12403","Maquinas y Herramientas","12403","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_12404","Vehículos","12404","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_12420","Amort.Ac.Mueb.y Utiles","12420","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_12421","Amort.Ac.Inmuebles","12421","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_12422","Amort.Ac.Maq.y Herram.","12422","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_12423","Amort.Ac.Vehiculos","12423","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_12501","Patentes, marcas y licencias","12501","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_12502","Gastos de investigacion","12502","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_12520","Amortizaciones Acumuladas","12520","data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_21100","Acreedores Varios (def)","21100","data_account_type_payable","l10n_uy.uy_chart_template","True"
"uy_code_21101","Proveedores por Importaciones","21101","data_account_type_payable","l10n_uy.uy_chart_template","True"
"uy_code_21102","Deuds. Contratos de Cambio Import.","21102","data_account_type_current_liabilities","l10n_uy.uy_chart_template","True"
"uy_code_21103","Proveedores de Plaza","21103","data_account_type_payable","l10n_uy.uy_chart_template","True"
"uy_code_21104","Documentos a Pagar ds/Comerciales","21104","data_account_type_current_liabilities","l10n_uy.uy_chart_template","True"
"uy_code_21120","Intereses a vencer ds/Comerciales","21120","data_account_type_current_liabilities","l10n_uy.uy_chart_template","True"
